employee_id,dept_id,level,hire_date,exit_date,is_active,annual_salary_inr,engagement_score,performance_rating,manager_changes_last_2yrs,work_mode,gender
E10035,6,Associate,2026-03-10,,True,1006000,3.3,3,2,Hybrid,Female
E10036,1,Associate,2024-11-19,,True,916000,3.92,5,0,Onsite,Male
E10037,1,Associate,2024-09-05,,True,1095000,3.42,2,2,Onsite,Female
E10038,5,Senior Associate,2026-05-12,,True,1729000,3.99,5,0,Onsite,Female
E10039,2,Analyst,2025-05-29,2026-02-25,False,730000,2.27,3,0,Remote,Female
E10040,1,Senior Associate,2019-01-01,,True,1618000,3.3,4,1,Onsite,Male
E10041,2,Senior Associate,2019-01-01,,True,1762000,4.81,4,0,Hybrid,Female
E10042,1,Manager,2025-01-07,,True,2470000,3.06,3,1,Hybrid,Female
E10043,7,Manager,2026-05-08,,True,2032000,3.18,3,1,Remote,Male
E10044,1,Associate,2025-10-29,,True,1157000,3.29,3,0,Hybrid,Male
E10045,5,Associate,2024-10-20,,True,1076000,2.75,3,0,Hybrid,Male
E10046,1,Analyst,2019-01-01,,True,813000,2.05,5,0,Remote,Female
E10047,3,Analyst,2025-12-24,2026-06-28,False,751000,3.44,4,1,Hybrid,Male
E10048,3,Analyst,2021-08-02,,True,661000,3.7,2,0,Onsite,Male
E10049,1,Associate,2026-02-08,,True,1099000,3.56,2,0,Onsite,Female
E10050,7,Analyst,2019-01-01,,True,751000,3.5,3,0,Hybrid,Male
E10051,5,Director,2024-11-10,,True,4541000,3.63,2,1,Hybrid,Female
E10052,7,Senior Associate,2021-05-31,,True,1751000,4.32,4,0,Hybrid,Male
E10053,7,Associate,2025-01-25,,True,1213000,3.47,2,1,Hybrid,Male
E10054,4,Senior Associate,2023-02-18,2025-08-07,False,1535000,3.2,3,3,Hybrid,Male
E10055,7,Analyst,2025-10-09,2025-11-16,False,742000,3.4,1,2,Onsite,Female
E10056,1,Associate,2025-12-17,,True,1080000,4.01,3,0,Hybrid,Female
E10057,1,Senior Associate,2019-01-01,,True,1569000,4.59,4,0,Onsite,Female
E10058,1,Associate,2019-01-01,,True,1233000,3.16,3,0,Remote,Female
E10059,1,Associate,2019-01-21,,True,1127000,3.67,5,1,Hybrid,Male
E10060,2,VP,2023-02-25,,True,6481000,3.84,4,0,Hybrid,Male
E10061,1,Senior Manager,2020-11-14,,True,3150000,2.91,3,0,Onsite,Male
E10062,6,Senior Associate,2026-04-03,,True,1623000,3.61,2,0,Onsite,Female
E10063,2,Senior Associate,2025-02-09,,True,1630000,2.57,4,1,Onsite,Female
E10064,1,Senior Associate,2025-03-20,,True,1602000,2.36,5,1,Hybrid,Male
E10065,3,Analyst,2023-01-22,,True,674000,3.86,4,1,Hybrid,Female
E10066,1,Associate,2024-12-31,,True,912000,3.33,2,0,Onsite,Female
E10067,6,Analyst,2025-12-13,,True,713000,3.74,5,1,Hybrid,Male
E10068,1,Associate,2023-05-29,,True,1050000,3.59,3,0,Hybrid,Female
E10069,7,Senior Associate,2020-10-05,,True,1336000,2.92,4,1,Onsite,Male
E10070,5,Analyst,2024-11-09,,True,830000,3.57,5,0,Hybrid,Female
E10071,1,Director,2026-01-06,2026-02-05,False,4286000,2.74,3,0,Hybrid,Male
E10072,1,Senior Manager,2025-10-02,,True,3537000,4.57,5,0,Hybrid,Male
E10073,6,Manager,2025-07-29,,True,2003000,2.65,3,0,Hybrid,Male
E10074,5,Senior Associate,2025-04-14,,True,1334000,3.46,5,0,Hybrid,Female
E10075,5,Senior Manager,2022-12-28,,True,3100000,2.87,3,2,Remote,Female
E10076,5,Analyst,2023-05-15,,True,676000,4.0,5,1,Onsite,Male
E10077,1,Manager,2022-06-10,,True,2579000,3.37,2,0,Hybrid,Other
E10078,2,Analyst,2024-12-18,,True,633000,3.24,4,0,Onsite,Female
E10079,1,Manager,2020-07-30,,True,2193000,4.2,3,1,Onsite,Female
E10080,6,Analyst,2025-09-20,,True,857000,3.62,3,1,Onsite,Male
E10081,4,Senior Manager,2024-05-05,,True,3000000,3.96,3,0,Onsite,Male
E10082,1,Director,2020-12-31,2026-04-07,False,3917000,2.91,4,2,Remote,Female
E10083,1,Analyst,2025-10-27,,True,704000,2.62,3,0,Remote,Male
E10084,1,Associate,2026-02-07,,True,1074000,3.68,3,1,Onsite,Male
E10085,1,VP,2019-03-03,,True,6271000,3.38,3,0,Hybrid,Male
E10086,5,Associate,2025-01-25,,True,1063000,4.04,5,0,Hybrid,Male
E10087,4,Senior Manager,2022-07-29,,True,3459000,3.54,1,0,Hybrid,Male
E10088,7,Senior Associate,2026-05-31,,True,1748000,3.74,3,0,Hybrid,Female
E10089,2,Associate,2022-07-05,,True,917000,2.46,3,0,Onsite,Male
E10090,1,Associate,2025-03-16,,True,956000,4.92,3,2,Hybrid,Male
E10091,5,Analyst,2026-04-21,,True,697000,3.49,3,2,Hybrid,Male
E10092,5,Manager,2023-04-17,,True,2327000,4.09,3,0,Hybrid,Female
E10093,4,Associate,2025-07-24,,True,1026000,3.01,4,0,Remote,Female
E10094,5,Associate,2024-10-31,,True,1195000,3.82,4,1,Remote,Female
E10095,2,Associate,2026-03-19,,True,1151000,2.69,3,1,Hybrid,Male
E10096,3,Senior Associate,2025-12-15,,True,1356000,3.92,2,0,Hybrid,Male
E10097,2,Senior Manager,2025-04-17,,True,3244000,3.35,4,0,Remote,Female
E10098,1,VP,2026-03-06,,True,6107000,3.62,3,0,Onsite,Female
E10099,1,Associate,2019-01-01,,True,989000,4.09,4,2,Onsite,Female
E10100,1,Manager,2026-06-24,,True,2021000,2.74,3,2,Onsite,Male
E10101,4,Manager,2024-03-30,,True,2017000,3.12,3,1,Remote,Male
E10102,1,Senior Associate,2026-01-19,,True,1618000,3.92,3,1,Hybrid,Male
E10103,3,Director,2025-03-31,,True,4608000,5.0,4,1,Onsite,Female
E10104,7,Analyst,2019-01-01,,True,673000,3.5,2,2,Remote,Male
E10105,1,Analyst,2025-11-24,,True,873000,4.01,3,0,Hybrid,Male
E10106,2,Senior Manager,2019-01-01,,True,3038000,3.53,2,0,Remote,Male
E10107,5,Associate,2025-09-18,,True,934000,4.96,4,1,Onsite,Male
E10108,1,Manager,2021-11-20,,True,1979000,2.38,5,1,Hybrid,Male
E10109,1,Senior Manager,2023-10-21,2026-03-23,False,3203000,3.67,3,0,Hybrid,Male
E10110,1,Analyst,2019-02-22,,True,870000,2.46,3,0,Hybrid,Female
E10111,1,Senior Manager,2023-10-01,,True,3191000,1.85,5,0,Hybrid,Male
E10112,7,Associate,2023-11-23,,True,1232000,3.81,3,2,Hybrid,Male
E10113,6,Associate,2025-10-04,2026-03-05,False,1055000,3.7,3,0,Onsite,Male
E10114,4,Senior Associate,2025-11-17,,True,1526000,3.4,3,0,Hybrid,Male
E10115,6,Senior Manager,2019-01-01,,True,3118000,3.53,4,1,Onsite,Female
E10116,6,Analyst,2025-02-22,,True,801000,5.0,2,2,Onsite,Male
E10117,1,Associate,2024-11-29,,True,1029000,3.42,4,1,Onsite,Female
E10118,7,Senior Associate,2021-08-21,,True,1743000,3.96,3,0,Onsite,Male
E10119,3,Manager,2025-02-02,,True,1912000,3.15,2,0,Onsite,Female
E10120,6,Senior Associate,2019-01-01,,True,1528000,3.81,4,0,Hybrid,Male
E10121,7,Analyst,2021-12-08,,True,755000,3.43,3,0,Hybrid,Male
E10122,1,Associate,2023-05-26,,True,1112000,3.31,2,0,Onsite,Female
E10123,1,Associate,2019-04-01,,True,997000,4.87,4,0,Hybrid,Male
E10124,1,Manager,2026-04-29,,True,2204000,4.42,4,0,Onsite,Male
E10125,2,Analyst,2025-06-27,,True,749000,3.7,4,2,Onsite,Female
E10126,6,Analyst,2024-05-14,,True,798000,1.99,5,0,Hybrid,Male
E10127,6,Director,2025-08-15,,True,4917000,3.35,4,0,Hybrid,Male
E10128,1,Analyst,2021-11-09,,True,811000,5.0,1,1,Hybrid,Female
E10129,3,VP,2019-01-01,,True,6627000,3.44,3,0,Onsite,Female
E10130,2,Senior Associate,2024-08-14,2025-12-12,False,1812000,4.37,4,0,Hybrid,Female
E10131,1,Manager,2025-01-26,,True,2514000,4.61,3,0,Hybrid,Male
E10132,1,Associate,2019-01-01,,True,991000,3.75,4,0,Remote,Male
E10133,1,Analyst,2024-06-29,,True,678000,3.01,4,2,Onsite,Male
E10134,7,Manager,2024-03-18,2024-06-02,False,2121000,1.9,3,0,Hybrid,Male
E10135,1,Manager,2025-01-08,2026-01-04,False,2222000,4.08,5,0,Hybrid,Female
E10136,3,Manager,2019-01-01,,True,2515000,3.03,3,0,Remote,Male
E10137,5,Analyst,2023-08-19,,True,821000,3.72,3,1,Onsite,Male
E10138,2,Manager,2021-08-09,,True,2516000,2.73,5,0,Hybrid,Female
E10139,7,Manager,2020-10-22,,True,2090000,3.41,3,0,Onsite,Female
E10140,7,Senior Associate,2025-01-27,,True,1606000,3.62,3,1,Hybrid,Female
E10141,1,Manager,2024-07-24,,True,2098000,3.79,3,0,Onsite,Female
E10142,2,Manager,2020-01-26,,True,1970000,2.82,4,0,Onsite,Female
E10143,1,Senior Associate,2024-12-17,,True,1652000,4.44,4,0,Hybrid,Male
E10144,1,Analyst,2021-02-12,,True,665000,3.18,4,1,Onsite,Male
E10145,1,Associate,2019-01-01,,True,1134000,2.43,4,0,Onsite,Male
E10146,4,Analyst,2023-03-05,,True,789000,3.52,3,0,Onsite,Male
E10147,3,Associate,2021-11-20,,True,1184000,3.62,4,1,Onsite,Female
E10148,1,Associate,2020-12-04,,True,949000,3.71,4,0,Remote,Male
E10149,1,Analyst,2020-02-23,,True,822000,4.55,3,1,Hybrid,Male
E10150,7,Associate,2024-10-14,,True,1250000,3.43,2,2,Hybrid,Male
E10151,1,Analyst,2026-04-27,,True,839000,3.52,5,0,Onsite,Male
E10152,1,Manager,2024-09-30,,True,2443000,2.83,4,1,Remote,Female
E10153,2,Director,2022-09-06,,True,4753000,4.17,4,1,Hybrid,Female
E10154,7,Analyst,2024-06-17,,True,733000,3.73,4,0,Hybrid,Male
E10155,1,Director,2021-10-15,,True,4854000,3.31,3,0,Hybrid,Male
E10156,5,Senior Associate,2024-12-29,,True,1673000,2.27,4,2,Hybrid,Female
E10157,5,Associate,2023-01-25,,True,1121000,4.61,3,0,Hybrid,Female
E10158,1,Analyst,2025-10-18,,True,825000,2.74,2,0,Onsite,Male
E10159,5,Associate,2021-10-13,,True,1057000,3.19,4,0,Onsite,Female
E10160,2,Manager,2023-10-24,,True,1979000,3.85,3,0,Hybrid,Female
E10161,4,Senior Associate,2025-09-20,,True,1589000,2.76,4,0,Hybrid,Other
E10162,4,Analyst,2025-04-28,2025-06-06,False,695000,2.55,3,2,Onsite,Female
E10163,3,Analyst,2021-10-17,,True,724000,2.11,3,0,Onsite,Female
E10164,1,Associate,2024-04-02,,True,906000,4.1,3,0,Hybrid,Male
E10165,6,Associate,2025-09-02,,True,1034000,3.22,3,1,Hybrid,Female
E10166,1,Analyst,2019-01-01,,True,828000,5.0,3,0,Onsite,Female
E10167,1,Associate,2022-03-22,,True,1090000,2.9,3,0,Onsite,Female
E10168,1,Manager,2019-01-01,,True,1897000,2.95,5,2,Hybrid,Female
E10169,4,Senior Manager,2024-08-07,,True,3087000,3.2,3,1,Hybrid,Male
E10170,5,Associate,2024-04-20,,True,1002000,3.77,3,0,Onsite,Male
E10171,1,Senior Manager,2019-01-01,,True,3095000,3.27,3,2,Hybrid,Male
E10172,3,Associate,2023-12-18,,True,1042000,4.03,4,1,Hybrid,Female
E10173,1,Associate,2022-04-25,,True,1226000,2.91,3,2,Hybrid,Male
E10174,5,Analyst,2025-07-05,,True,640000,2.63,4,2,Remote,Male
E10175,1,Senior Associate,2024-06-25,,True,1652000,2.34,4,1,Remote,Male
E10176,5,Director,2026-01-19,,True,5031000,2.04,3,0,Onsite,Female
E10177,2,Senior Associate,2025-09-17,,True,1792000,3.24,3,1,Onsite,Female
E10178,7,Associate,2026-06-30,,True,962000,3.39,5,0,Onsite,Female
E10179,1,Senior Associate,2026-05-13,,True,1575000,3.16,4,1,Onsite,Female
E10180,2,Analyst,2019-01-01,,True,641000,4.47,4,0,Onsite,Female
E10181,1,Senior Manager,2025-07-21,2026-01-10,False,3117000,4.46,2,1,Onsite,Female
E10182,7,Associate,2022-10-16,2026-02-02,False,944000,3.37,3,0,Remote,Male
E10183,6,Associate,2020-04-10,,True,1193000,2.34,3,0,Remote,Male
E10184,1,Senior Associate,2023-10-10,,True,1363000,3.2,3,0,Hybrid,Female
E10185,5,Senior Associate,2025-12-07,,True,1565000,3.18,3,1,Hybrid,Female
E10186,6,Analyst,2022-01-23,,True,758000,3.14,4,0,Onsite,Female
E10187,4,Senior Associate,2023-05-17,,True,1798000,3.11,3,1,Onsite,Male
E10188,3,Analyst,2022-01-08,,True,790000,3.14,4,0,Onsite,Male
E10189,1,Senior Associate,2021-06-30,,True,1451000,3.33,4,1,Hybrid,Male
E10190,1,Manager,2019-01-01,,True,2067000,3.16,3,1,Onsite,Male
E10191,7,Manager,2023-08-06,,True,1984000,3.75,4,0,Remote,Male
E10192,7,Senior Associate,2025-01-27,,True,1689000,3.85,2,0,Hybrid,Male
E10193,4,Senior Associate,2022-12-08,,True,1656000,2.96,4,0,Onsite,Male
E10194,1,Analyst,2026-04-04,,True,779000,4.49,3,1,Onsite,Female
E10195,2,Manager,2019-01-01,,True,1920000,2.91,2,1,Hybrid,Female
E10196,5,Analyst,2026-01-24,,True,817000,2.47,4,0,Remote,Female
E10197,7,Associate,2025-02-22,,True,1125000,3.87,3,0,Hybrid,Female
E10198,7,Associate,2020-09-25,,True,1237000,3.03,5,0,Onsite,Male
E10199,5,Analyst,2023-05-26,2024-10-23,False,774000,3.82,3,1,Hybrid,Female
E10200,5,Senior Associate,2024-10-17,,True,1459000,1.92,3,0,Onsite,Male
E10201,1,Analyst,2024-04-24,,True,723000,4.57,3,1,Remote,Male
E10202,1,Manager,2019-12-06,,True,2019000,4.07,3,0,Hybrid,Male
E10203,7,Associate,2025-01-30,,True,1153000,2.55,3,0,Hybrid,Male
E10204,4,Analyst,2019-07-23,,True,803000,2.56,4,3,Onsite,Female
E10205,1,Associate,2026-03-09,2026-04-15,False,970000,4.77,4,1,Hybrid,Male
E10206,1,Analyst,2021-05-22,,True,669000,3.08,4,0,Onsite,Female
E10207,5,Analyst,2020-02-03,,True,649000,3.02,5,1,Onsite,Female
E10208,1,Senior Associate,2025-10-25,,True,1768000,2.01,3,0,Onsite,Male
E10209,1,Analyst,2024-07-31,,True,687000,3.35,4,0,Remote,Male
E10210,3,Manager,2025-11-18,2026-03-02,False,2143000,3.44,3,0,Hybrid,Female
E10211,5,Analyst,2022-04-27,,True,699000,4.1,4,1,Onsite,Male
E10212,5,Analyst,2023-11-21,,True,731000,2.62,3,0,Remote,Male
E10213,1,Manager,2023-01-23,,True,2415000,2.54,5,0,Onsite,Female
E10214,5,Associate,2025-10-02,,True,1205000,3.92,4,2,Onsite,Other
E10215,1,Analyst,2025-09-08,,True,675000,4.3,5,2,Onsite,Female
E10216,1,Associate,2026-05-10,,True,1140000,2.5,4,0,Hybrid,Male
E10217,5,Analyst,2025-03-05,,True,716000,4.36,5,0,Hybrid,Male
E10218,5,Manager,2023-09-14,,True,2611000,3.63,4,1,Hybrid,Male
E10219,6,Associate,2019-11-07,,True,1005000,4.36,3,0,Hybrid,Male
E10220,5,Manager,2022-10-02,2025-09-15,False,1895000,3.55,3,0,Onsite,Male
E10221,4,Senior Manager,2024-07-20,,True,3133000,1.83,3,1,Hybrid,Male
E10222,1,Associate,2019-01-01,,True,953000,3.49,1,2,Onsite,Female
E10223,2,Senior Manager,2022-03-04,,True,2655000,4.34,3,0,Hybrid,Female
E10224,1,Associate,2019-01-01,,True,1144000,2.97,3,0,Hybrid,Female
E10225,1,Director,2023-12-11,2024-01-16,False,4856000,3.33,3,1,Hybrid,Female
E10226,7,Analyst,2025-06-24,,True,743000,3.48,5,0,Hybrid,Male
E10227,2,Senior Associate,2026-04-25,,True,1649000,1.57,5,0,Hybrid,Male
E10228,7,Associate,2022-02-01,,True,1088000,4.77,3,0,Onsite,Female
E10229,4,Associate,2026-01-22,2026-05-10,False,1120000,2.97,3,3,Remote,Other
E10230,5,Senior Associate,2025-04-09,,True,1608000,3.95,3,0,Onsite,Male
E10231,3,Senior Associate,2023-11-28,2024-01-11,False,1643000,3.54,3,1,Onsite,Male
E10232,4,Analyst,2023-09-01,,True,679000,4.48,4,1,Hybrid,Female
E10233,2,Analyst,2023-05-16,,True,696000,3.88,3,0,Hybrid,Male
E10234,1,Senior Associate,2025-11-17,,True,1528000,3.44,3,3,Onsite,Male
E10235,5,Senior Associate,2024-11-14,,True,1531000,2.97,4,0,Remote,Male
E10236,1,Director,2023-03-24,,True,4918000,4.16,4,1,Remote,Female
E10237,1,Manager,2019-01-01,,True,2160000,2.29,2,1,Hybrid,Male
E10238,5,Director,2022-01-25,2026-02-18,False,4019000,4.05,4,2,Hybrid,Female
E10239,1,Senior Associate,2019-01-01,,True,1433000,2.83,3,0,Hybrid,Male
E10240,7,Associate,2021-08-09,,True,975000,4.48,3,0,Onsite,Male
E10241,7,Analyst,2023-06-13,2025-12-27,False,809000,3.71,2,2,Hybrid,Female
E10242,7,Manager,2025-10-09,,True,2236000,4.05,3,2,Remote,Male
E10243,2,Senior Associate,2022-10-03,,True,1665000,3.66,3,0,Remote,Male
E10244,1,Analyst,2023-03-04,,True,732000,2.37,3,0,Remote,Male
E10245,7,Associate,2023-05-10,,True,1211000,3.0,4,0,Onsite,Female
E10246,2,Director,2024-03-16,,True,5226000,4.07,4,0,Onsite,Male
E10247,7,Associate,2023-12-08,,True,1134000,3.72,3,0,Onsite,Male
E10248,7,Associate,2025-02-10,,True,1202000,4.43,2,0,Onsite,Female
E10249,6,Associate,2024-01-02,,True,1078000,3.88,4,0,Onsite,Male
E10250,1,Analyst,2025-10-01,,True,859000,2.92,1,0,Onsite,Male
E10251,2,Associate,2020-12-04,,True,1191000,3.04,5,0,Hybrid,Female
E10252,6,Associate,2025-10-19,,True,1247000,3.67,4,0,Hybrid,Male
E10253,1,Analyst,2026-03-13,,True,783000,1.98,3,1,Hybrid,Male
E10254,1,Manager,2024-07-18,,True,2463000,4.77,3,0,Hybrid,Female
E10255,4,Associate,2022-11-03,,True,1090000,3.91,1,1,Onsite,Female
E10256,7,Manager,2024-07-15,,True,2080000,4.46,3,0,Onsite,Male
E10257,5,Senior Manager,2025-05-24,,True,2970000,2.49,2,2,Hybrid,Female
E10258,4,Analyst,2023-09-19,2024-11-21,False,849000,4.47,4,0,Hybrid,Female
E10259,1,Senior Associate,2025-01-17,,True,1333000,5.0,3,1,Hybrid,Male
E10260,4,Associate,2019-01-01,2019-08-25,False,1107000,2.68,3,2,Onsite,Male
E10261,7,Senior Manager,2019-01-01,,True,2988000,4.14,3,1,Onsite,Male
E10262,1,Analyst,2024-02-14,,True,725000,3.6,3,2,Hybrid,Female
E10263,3,Senior Associate,2025-02-22,,True,1754000,2.52,2,1,Remote,Male
E10264,6,Senior Associate,2021-12-12,,True,1738000,3.95,2,0,Remote,Female
E10265,5,Associate,2026-05-16,,True,1110000,4.18,1,1,Hybrid,Female
E10266,5,Analyst,2024-04-21,,True,697000,3.18,4,1,Hybrid,Male
E10267,5,Senior Associate,2025-02-06,,True,1546000,4.42,3,0,Hybrid,Male
E10268,2,Manager,2019-01-01,,True,2190000,2.43,4,1,Hybrid,Female
E10269,1,Associate,2026-06-16,,True,1024000,2.55,3,1,Hybrid,Male
E10270,6,Senior Associate,2023-10-04,,True,1357000,3.7,3,1,Remote,Male
E10271,6,Associate,2021-11-25,2026-06-06,False,1090000,3.62,3,1,Hybrid,Female
E10272,6,Senior Associate,2024-03-28,2025-12-26,False,1458000,3.1,4,1,Remote,Male
E10273,7,Analyst,2026-03-12,,True,792000,4.17,3,0,Onsite,Male
E10274,3,Senior Manager,2019-01-01,,True,2934000,3.97,2,2,Hybrid,Male
E10275,3,Associate,2024-01-05,,True,1051000,4.2,3,1,Hybrid,Male
E10276,5,Associate,2023-04-03,,True,918000,3.51,3,1,Onsite,Male
E10277,5,Analyst,2025-07-30,,True,873000,4.02,3,0,Hybrid,Female
E10278,5,Analyst,2024-03-31,,True,754000,3.29,4,0,Onsite,Other
E10279,5,Associate,2024-08-03,,True,908000,5.0,3,1,Hybrid,Male
E10280,7,Analyst,2026-03-27,,True,763000,3.03,4,0,Hybrid,Male
E10281,1,Manager,2026-02-12,,True,2530000,5.0,3,0,Onsite,Male
E10282,2,Analyst,2020-04-22,,True,819000,3.62,4,2,Hybrid,Male
E10283,1,Associate,2025-07-25,,True,1145000,2.64,4,0,Hybrid,Male
E10284,4,Associate,2025-10-05,,True,949000,4.56,3,0,Hybrid,Male
E10285,1,Analyst,2024-02-08,,True,791000,3.69,4,0,Onsite,Female
E10286,2,Analyst,2021-07-05,,True,818000,4.2,4,0,Remote,Male
E10287,3,Associate,2026-04-13,,True,1100000,4.46,3,2,Hybrid,Male
E10288,1,Associate,2023-07-27,,True,1212000,3.84,3,0,Hybrid,Male
E10289,4,Associate,2026-01-25,,True,997000,3.19,4,0,Onsite,Male
E10290,1,Senior Associate,2026-05-16,,True,1428000,4.28,3,0,Remote,Female
E10291,1,Senior Associate,2026-04-25,,True,1746000,3.6,2,0,Onsite,Male
E10292,6,Analyst,2020-05-17,,True,783000,4.08,4,0,Hybrid,Female
E10293,2,Associate,2026-01-26,,True,901000,2.09,2,0,Hybrid,Male
E10294,1,Director,2026-05-05,,True,4299000,3.91,4,2,Onsite,Female
E10295,3,Associate,2024-07-15,,True,1200000,3.15,4,0,Hybrid,Other
E10296,5,Senior Associate,2020-03-02,,True,1319000,4.76,5,2,Onsite,Male
E10297,1,Associate,2025-06-18,,True,901000,4.04,2,0,Hybrid,Male
E10298,4,Manager,2024-08-19,,True,2097000,3.77,3,0,Hybrid,Female
E10299,1,Manager,2026-05-12,,True,2562000,3.94,3,0,Remote,Male
E10300,1,Senior Associate,2024-06-20,,True,1762000,2.9,3,0,Remote,Female
E10301,3,Director,2023-07-25,,True,4543000,4.74,2,1,Hybrid,Male
E10302,3,Analyst,2023-08-14,,True,766000,4.99,3,0,Hybrid,Male
E10303,4,Analyst,2025-02-14,,True,711000,3.88,3,0,Hybrid,Male
E10304,5,Manager,2025-03-17,,True,2069000,4.71,2,1,Onsite,Female
E10305,7,Manager,2026-02-11,,True,2489000,3.2,4,1,Hybrid,Male
E10306,3,Analyst,2024-12-10,,True,656000,3.04,4,0,Remote,Male
E10307,1,Analyst,2026-02-21,2026-04-05,False,749000,3.63,4,1,Onsite,Female
E10308,5,Analyst,2021-07-17,,True,785000,3.9,5,0,Onsite,Male
E10309,1,Associate,2019-01-01,,True,936000,3.32,3,0,Onsite,Male
E10310,2,Manager,2019-01-01,,True,2272000,3.98,5,1,Onsite,Male
E10311,1,Associate,2019-09-04,,True,1102000,3.81,4,0,Onsite,Female
E10312,1,Associate,2023-05-16,,True,1160000,2.9,3,1,Hybrid,Female
E10313,7,Associate,2022-05-22,,True,982000,3.96,3,1,Hybrid,Male
E10314,6,Analyst,2025-05-10,,True,702000,4.2,3,3,Hybrid,Male
E10315,5,Associate,2023-02-08,,True,1099000,3.72,3,1,Onsite,Female
E10316,2,Senior Associate,2024-06-05,,True,1804000,4.41,3,1,Hybrid,Female
E10317,1,Director,2024-04-04,,True,4100000,2.75,3,0,Remote,Male
E10318,1,Manager,2021-09-01,,True,2615000,3.93,4,0,Remote,Male
E10319,1,Analyst,2025-05-15,,True,805000,2.78,3,0,Hybrid,Male
E10320,3,Senior Manager,2025-03-12,,True,3448000,2.82,2,2,Onsite,Female
E10321,5,Manager,2019-01-01,,True,1956000,3.16,4,1,Remote,Other
E10322,5,Manager,2026-04-20,,True,2111000,2.94,3,0,Hybrid,Male
E10323,1,Associate,2024-03-26,,True,920000,3.22,5,0,Onsite,Male
E10324,7,Associate,2019-01-01,,True,1030000,3.45,2,0,Onsite,Male
E10325,5,Associate,2023-04-15,,True,1243000,4.19,5,0,Onsite,Male
E10326,4,Analyst,2023-10-22,,True,656000,3.38,2,0,Onsite,Male
E10327,4,Analyst,2025-07-09,,True,768000,2.49,3,0,Onsite,Female
E10328,2,Analyst,2025-01-24,,True,631000,4.4,2,0,Remote,Male
E10329,1,Associate,2019-12-27,,True,1149000,3.01,4,0,Hybrid,Female
E10330,2,Manager,2023-09-16,,True,2035000,3.56,4,1,Hybrid,Male
E10331,5,Associate,2024-01-14,,True,945000,3.91,3,0,Hybrid,Female
E10332,1,Analyst,2026-02-21,,True,713000,3.74,5,1,Hybrid,Male
E10333,1,Director,2026-06-11,,True,4913000,4.37,3,0,Remote,Male
E10334,1,Director,2019-01-01,,True,3937000,3.94,4,0,Remote,Female
